자전거번호,대여일시,대여소번호,대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리,나이
SPB-06227,2020-12-07 16:27,151,망원1동주민센터,8,2020-12-07 16:34,101,(구)합정동 주민센터,3,6,1170,23
SPB-16593,2020-12-07 17:16,106,합정역 7번출구 앞,1,2020-12-07 18:11,101,(구)합정동 주민센터,5,54,860,25
SPB-18241,2020-12-07 17:45,101,(구)합정동 주민센터,4,2020-12-07 18:12,101,(구)합정동 주민센터,4,26,2560,39
SPB-20935,2020-12-07 18:09,183,하늘채코오롱아파트 건너편,13,2020-12-07 18:29,101,(구)합정동 주민센터,1,18,2700,61
SPB-17422,2020-12-07 19:34,151,망원1동주민센터,9,2020-12-07 19:48,101,(구)합정동 주민센터,1,13,1050,38
SPB-06227,2020-12-07 19:35,151,망원1동주민센터,8,2020-12-07 19:48,101,(구)합정동 주민센터,3,12,1060,25
SPB-14926,2020-12-07 19:46,106,합정역 7번출구 앞,6,2020-12-07 19:53,101,(구)합정동 주민센터,5,6,910,22
SPB-15011,2020-12-07 19:53,182,망원2빗물펌프장 앞,4,2020-12-07 20:31,101,(구)합정동 주민센터,4,37,4240,21
SPB-24564,2020-12-07 19:24,182,망원2빗물펌프장 앞,3,2020-12-07 20:38,101,(구)합정동 주민센터,1,72,8530,25
SPB-21795,2020-12-07 20:59,106,합정역 7번출구 앞,8,2020-12-07 21:04,101,(구)합정동 주민센터,3,5,450,24
SPB-12801,2020-12-07 21:15,114,홍대입구역 8번출구 앞,3,2020-12-07 21:33,101,(구)합정동 주민센터,1,16,1940,23
SPB-22075,2020-12-07 21:50,152,마포구민체육센터 앞,,2020-12-07 21:57,101,(구)합정동 주민센터,1,6,970,69
SPB-07429,2020-12-07 21:39,440,하늘공원 입구,5,2020-12-07 22:06,101,(구)합정동 주민센터,2,25,4030,23
SPB-14782,2020-12-07 22:17,184,SK망원동주유소 건너편,1,2020-12-07 22:26,101,(구)합정동 주민센터,1,8,1490,26
SPB-18241,2020-12-07 22:31,196,연희교차로 인근,1,2020-12-07 22:58,101,(구)합정동 주민센터,5,26,4430,30
SPB-21795,2020-12-07 22:56,101,(구)합정동 주민센터,3,2020-12-07 23:02,101,(구)합정동 주민센터,2,5,280,23
SPB-03349,2020-12-07 23:03,124,서강대 정문 건너편,5,2020-12-07 23:23,101,(구)합정동 주민센터,3,19,,40
SPB-22403,2020-12-07 23:45,119,서강나루 공원,10,2020-12-07 23:59,101,(구)합정동 주민센터,5,,1530,62
SPB-18241,2020-12-07 23:45,101,(구)합정동 주민센터,5,2020-12-08 0:16,101,(구)합정동 주민센터,5,30,3810,33
SPB-24421,2020-12-08 0:01,419,홈플러스 앞,11,2020-12-08 0:29,101,(구)합정동 주민센터,5,27,3540,33
SPB-24856,2020-12-08 0:05,419,홈플러스 앞,14,2020-12-08 0:29,101,(구)합정동 주민센터,1,22,4250,30
SPB-01878,2020-12-08 0:03,419,홈플러스 앞,15,2020-12-08 0:29,101,(구)합정동 주민센터,1,25,4450,39
SPB-07435,2020-12-08 2:08,151,망원1동주민센터,7,2020-12-08 2:14,101,(구)합정동 주민센터,3,5,700,26
SPB-24875,2020-12-08 3:56,264,교보생명보험 앞,3,2020-12-08 4:12,101,(구)합정동 주민센터,1,15,3320,31
SPB-01717,2020-12-08 9:09,438,성산2-1 공영주차장,1,2020-12-08 9:26,101,(구)합정동 주민센터,4,15,3900,21
SPB-06287,2020-12-08 9:05,203,국회의사당역 3번출구 옆,1,2020-12-08 9:28,101,(구)합정동 주민센터,3,22,5020,22
SPB-15658,2020-12-08 10:08,228,선유도역 3번출구 앞,6,2020-12-08 10:28,101,(구)합정동 주민센터,5,20,2860,29
SPB-15658,2020-12-08 11:03,101,(구)합정동 주민센터,5,2020-12-08 12:27,101,(구)합정동 주민센터,4,83,3850,28
SPB-15658,2020-12-08 12:38,101,(구)합정동 주민센터,4,2020-12-08 12:53,101,(구)합정동 주민센터,2,14,2590,55
SPB-22075,2020-12-08 12:25,101,(구)합정동 주민센터,1,2020-12-08 12:54,101,(구)합정동 주민센터,5,27,490,38
SPB-15142,2020-12-08 12:33,152,마포구민체육센터 앞,23,2020-12-08 13:17,101,(구)합정동 주민센터,4,44,0,22
SPB-24564,2020-12-08 14:47,101,(구)합정동 주민센터,1,2020-12-08 15:27,101,(구)합정동 주민센터,1,39,3300,42
SPB-19967,2020-12-08 15:01,102,망원역 1번출구 앞,11,2020-12-08 15:30,101,(구)합정동 주민센터,3,27,2010,23
SPB-00069,2020-12-08 15:01,102,망원역 1번출구 앞,12,2020-12-08 15:30,101,(구)합정동 주민센터,4,28,1940,21
SPB-17778,2020-12-08 15:23,184,SK망원동주유소 건너편,9,2020-12-08 15:34,101,(구)합정동 주민센터,5,11,1700,41
SPB-17778,2020-12-08 17:16,101,(구)합정동 주민센터,,2020-12-08 17:41,101,(구)합정동 주민센터,1,24,1750,34
SPB-24758,2020-12-08 17:59,106,합정역 7번출구 앞,7,2020-12-08 18:20,101,(구)합정동 주민센터,5,20,1130,65
SPB-20844,2020-12-08 17:55,115,사루비아 빌딩 앞,3,2020-12-08 18:21,101,(구)합정동 주민센터,1,24,3110,22
SPB-23976,2020-12-08 18:00,129,신촌역(2호선) 6번출구 옆,9,2020-12-08 18:27,101,(구)합정동 주민센터,3,25,3350,24
SPB-05001,2020-12-08 18:23,102,망원역 1번출구 앞,19,2020-12-08 18:30,101,(구)합정동 주민센터,2,6,1180,37
SPB-12291,2020-12-08 18:10,409,누리꿈스퀘어 옆,1,2020-12-08 18:34,101,(구)합정동 주민센터,4,23,4660,42
SPB-02431,2020-12-08 18:18,148,용강동 주민센터 앞,1,2020-12-08 18:45,101,(구)합정동 주민센터,1,27,5510,23
SPB-08458,2020-12-08 18:44,108,서교동 사거리,5,2020-12-08 19:03,101,(구)합정동 주민센터,2,18,2100,43
SPB-13180,2020-12-08 18:45,108,서교동 사거리,4,2020-12-08 19:03,101,(구)합정동 주민센터,1,17,1590,36
SPB-22308,2020-12-08 19:39,106,합정역 7번출구 앞,8,2020-12-08 19:46,101,(구)합정동 주민센터,4,6,910,21
SPB-23976,2020-12-08 19:15,101,(구)합정동 주민센터,3,2020-12-08 19:46,101,(구)합정동 주민센터,3,30,2120,23
SPB-04641,2020-12-08 19:52,105,합정역 5번출구 앞,2,2020-12-08 19:59,101,(구)합정동 주민센터,3,6,1020,22
SPB-14959,2020-12-08 19:55,151,망원1동주민센터,4,2020-12-08 20:54,101,(구)합정동 주민센터,2,57,5200,47
SPB-16645,2020-12-08 21:07,826,서울역 서부교차로2,18,2020-12-08 21:33,101,(구)합정동 주민센터,2,26,6850,36
SPB-04641,2020-12-08 21:33,101,(구)합정동 주민센터,3,2020-12-08 21:42,101,(구)합정동 주민센터,1,,0,45
SPB-12220,2020-12-08 21:41,432,마포중앙도서관,1,2020-12-08 21:52,101,(구)합정동 주민센터,3,9,1840,27
SPB-13543,2020-12-08 21:19,121,마포소방서 앞,,2020-12-08 22:06,101,(구)합정동 주민센터,1,47,3430,21
SPB-06676,2020-12-08 22:04,151,망원1동주민센터,5,2020-12-08 22:12,101,(구)합정동 주민센터,1,6,1040,32
SPB-23824,2020-12-08 22:18,104,합정역 1번출구 앞,2,2020-12-08 22:23,101,(구)합정동 주민센터,5,5,780,41
SPB-24084,2020-12-08 22:23,103,망원역 2번출구 앞,4,2020-12-08 22:40,101,(구)합정동 주민센터,1,15,750,22
SPB-11840,2020-12-08 22:40,104,합정역 1번출구 앞,7,2020-12-08 22:47,101,(구)합정동 주민센터,5,7,870,34
SPB-08884,2020-12-08 22:40,104,합정역 1번출구 앞,1,2020-12-08 22:47,101,(구)합정동 주민센터,1,7,1120,29
SPB-22099,2020-12-08 22:33,128,신촌역(2호선) 1번출구 옆,6,2020-12-08 22:52,101,(구)합정동 주민센터,3,18,3010,29
SPB-22641,2020-12-08 22:26,391,정동길입구,5,2020-12-08 23:10,101,(구)합정동 주민센터,2,43,6340,36
SPB-09543,2020-12-08 23:32,102,망원역 1번출구 앞,8,2020-12-08 23:42,101,(구)합정동 주민센터,1,9,1140,29
SPB-14426,2020-12-09 0:08,109,제일빌딩 앞,10,2020-12-09 0:16,101,(구)합정동 주민센터,1,7,1410,25
SPB-06938,2020-12-09 0:37,306,광화문역 7번출구 앞,4,2020-12-09 1:11,101,(구)합정동 주민센터,4,34,8160,23
SPB-07062,2020-12-09 1:21,151,망원1동주민센터,,2020-12-09 1:27,101,(구)합정동 주민센터,3,5,1050,33
SPB-12641,2020-12-09 1:34,102,망원역 1번출구 앞,12,2020-12-09 1:41,101,(구)합정동 주민센터,3,6,1110,36
SPB-23475,2020-12-09 1:49,103,망원역 2번출구 앞,13,2020-12-09 1:55,101,(구)합정동 주민센터,1,5,740,42
SPB-22450,2020-12-09 2:06,106,합정역 7번출구 앞,4,2020-12-09 2:11,101,(구)합정동 주민센터,3,5,480,26
